id,avatar,posts,followers,likes,engagement_rate
1636,youm7,59.1K,10.4M,59.14K,0.1
1637,nesreentafesh,3.1K,10.4M,3.14K,0.8
1638,fernanfloo,127,10.4M,127,12.3
1639,thenikkibella,7.3K,10.4M,7.28K,1.2
1640,yassipressman,4.1K,10.4M,4.10K,0.3
1641,pamela_rf,2.1K,9M,2.08K,2.8
1642,orlabaddie,834,9M,1,0
1643,claudiaalende,1.1K,9M,1.11K,1.3
1644,soyneiva,395,11.9M,395,2.5
1645,ramezgalalac,1.2K,11.9M,1.15K,1.3
1646,brycehall,1.1K,7.7M,1.08K,12.2
1647,tata,4.1K,7.7M,4.10K,4.2
1648,senorita_jessy,1.1K,7.7M,1.10K,0.4
1649,kriswu,366,7.7M,366,6.8
1650,pullandbear,5.4K,7.7M,5.36K,0.1
1651,portalg1,16.5K,7.7M,16.54K,0.2
1652,o.dembele7,233,10.4M,233,6.4
1653,bachchan,1.1K,10.4M,1.10K,0.6
1654,ladbible,28.6K,10.4M,28.57K,0.9
1655,tylerjblackburn,1.2K,10.4M,1.18K,1.3
1656,anyataylorjoy,1.2K,9M,1.19K,11.9
1657,aum_patchrapa,7.5K,13.5M,7.53K,0.6
1658,iamjamiefoxx,2.9K,13.4M,2.91K,1
1659,lildurk,719,13.5M,719,5.3
1660,cescf4bregas,1K,13.5M,1.04K,0.5
1661,tiffanyandco,2.7K,13.5M,2.70K,0.4
1662,casemiro,1.1K,18.8M,1.07K,1.8
1663,realhinakhan,1.8K,18.8M,1.79K,1.8
1664,avani,894,18.9M,894,3.4
1665,prettylittlething,1.3K,18.9M,1.33K,0.2
